activite_id;selected;objet_activite;denomination;date_publication_activite;budget_total;nb_activites_total;budget_moyen_activite;domaines;nombre_salaries;representants_id;label_categorie_organisation;bm25_score;vec_score;hybrid_score
18974;true;Loi : soutenir le développement des offres de musique en ligne : l'abonnement au streaming musical a un taux de pénétration trop bas comparativement aux autres pays : l'inclure dans le pass culture;TOUS POUR LA MUSIQUE;2025-03-28T00:00:00.000;35000;9;3889;Arts, culture;0.08;757;;10.8295274728024;0.6650424599647522;0.013412698412698413
85034;true;Compléter le financement du CNM par l'aménagement de la taxe sur les services vidéo et s'opposer à la création d'une nouvelle taxe streaming qui menace le modèle économique de la musique enregistrée.;SYND NATIONAL EDITION PHONOGRAPHIQUE;2023-03-28T00:00:00.000;1050000;77;13636;Audiovisuel;2;3059;;12.946856659454264;0.799651026725769;0.009690024587284862
85047;true;Défendre le principe de la liberté contractuelle dans les relations entre plateformes de streaming audio et ayants droit. ;SYND NATIONAL EDITION PHONOGRAPHIQUE;2022-03-28T00:00:00.000;1050000;77;13636;Marché du numérique;2;3059;;13.873896091215437;0.8049704432487488;0.009795548654244306
85012;true;Sensibiliser les pouvoirs publics aux enjeux de la musique enregistrée en France et définir une stratégie de soutien au développement du marché du streaming musical. ;SYND NATIONAL EDITION PHONOGRAPHIQUE;2026-03-31T00:00:00.000;1050000;77;13636;Arts, culture;0.9;3059;;11.953675423364485;0.7539163827896118;0.011591155724362453
85025;true;Lutter contre la manipulation du streaming musical, notamment en matière d'audiences et de revenus. ;SYND NATIONAL EDITION PHONOGRAPHIQUE;2024-03-29T00:00:00.000;1050000;77;13636;Arts, culture;0.9;3059;;8.272008691820924;0.6395184993743896;0.01254111842105263
85028;true;Définir une stratégie de soutien du développement du marché du streaming musical. ;SYND NATIONAL EDITION PHONOGRAPHIQUE;2024-03-29T00:00:00.000;1050000;77;13636;Arts, culture;0.9;3059;;9.045070908241264;0.5496846437454224;0.01341642228739003
85053;true;Lutter contre les pratiques de manipulation des écoutes sur les plateformes de streaming musical. ;SYND NATIONAL EDITION PHONOGRAPHIQUE;2022-03-28T00:00:00.000;1050000;77;13636;Marché du numérique;2;3059;;15.085556812793424;0.5961463451385498;0.015873015873015872
19001;true;Inscrire dans la loi la création d'une taxe sur le streaming assise sur le chiffre d'affaires des plateformes de diffusion de musique en ligne pour financer le Centre National de la Musique;SOCIETE CIVILE DES PRODUCTEURS DE PHONOGRAMMES EN FRANCE;2025-01-20T00:00:00.000;87500;8;10938;Arts, culture;1;760;;13.672126143559115;0.7611028552055359;0.011820728291316526
5230;true;Soutenir la création d'une taxe sur le streaming pour financer le Centre National de la Musique ;SOC AUTEURS COMPOSITEURS DRAMATIQUES;2024-03-27T00:00:00.000;1150000;60;19167;Arts, culture;2;217;;15.085556812793424;0.7010316252708435;0.014565496575342465
12473;true;Exposition de la musique francophone et diversité sur les services de musique en ligne;MAZAGAN;2022-02-04T00:00:00.000;962500;37;26014;Marché du numérique;2;507;;10.568147049041514;0.766951322555542;0.010267857142857143
12468;true;Exposition de la musique francophone et diversité sur les services de musique en ligne;MAZAGAN;2021-12-22T00:00:00.000;962500;37;26014;Marché du numérique;3;507;;10.568147049041514;0.766951322555542;0.010376641701942906
12479;true;Contribuer à la réflexion sur l'exposition de la musique francophone et la diversité sur les services de musique en ligne;MAZAGAN;2019-12-20T00:00:00.000;962500;37;26014;Marché du numérique;2;507;;9.88070927029372;0.7278725504875183;0.011820953436807096
12475;true;Contribuer à la réflexion sur l'exposition de la musique francophone et la diversité sur les services de musique en ligne;MAZAGAN;2020-12-16T00:00:00.000;962500;37;26014;Marché du numérique;2;507;;9.88070927029372;0.7278725504875183;0.011962537249893572
12469;true;Contribution du streaming musical au financement de la création et financement du CNM;MAZAGAN;2022-12-20T00:00:00.000;962500;37;26014;Marché du numérique;3;507;;15.4222785422931;0.5378409028053284;0.016274457958751983
6616;true;S'assurer d'un traitement équitable de l'ensemble des plateformes soumises au paiement de la taxe sur le streaming musical au profit du Centre national de la musique.;GOOGLE FRANCE;2025-03-31T00:00:00.000;11200000;354;31638;Arts, culture;23;250;;12.16412279741413;0.7983777523040771;0.009618421052631578
6512;true;S'assurer d'un traitement équitable de l'ensemble des plateformes soumises au paiement de la taxe sur le streaming musical au profit du Centre national de la musique.;GOOGLE FRANCE;2026-03-30T00:00:00.000;11200000;354;31638;Arts, culture;7;250;;12.16412279741413;0.7983777523040771;0.009723465187041345
18926;true;Soutenir l'adoption d'une taxe sur les plates-formes d'écoute de musique en streaming pour le financement du CNM (Centre National de la Musique);FEDERATION NATIONALE DES LABELS INDEPENDANTS;2025-04-08T00:00:00.000;5000;0;5000;Arts, culture;;753;;15.909994036357643;0.673812747001648;0.015123528053567306
8407;true;PLF 2024 : préconiser que la taxe sur les services de streaming de musique ne concerne que les revenus directement liés à la musique et non pas ceux où la musique est un complément à d’autres contenus;FACEBOOK FRANCE;2024-03-30T00:00:00.000;5150000;67;76866;Finances publiques;2.4;347;;14.130068371674497;0.7389914989471436;0.013111766747657063
10277;true;Note sur le financement de la filière musicale proposant d'instaurer une contribution sur le streaming musical en perspective du PLF 2024;EKHOSCENES;2024-09-29T00:00:00.000;1305000;72;18125;Arts, culture;1;445;;7.620685543891228;0.7031242847442627;0.010765765765765767
10282;true;PLF 2024 Contribution sur le financement de la filière musicale visant à instaurer une contribution streaming;EKHOSCENES;2024-09-29T00:00:00.000;1305000;72;18125;Arts, culture;1;445;;8.452615277644666;0.7155754566192627;0.011142191142191143
