Session;Numéro de texte;Date de dépôt;Auteurs;Titre;Type de dossier;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
0;138;"12/12/1978";"Marc JACQUET";"proposition de loi portant interdiction de recevoir des subsides d'origine francaise ou étrangère pour les élections à l'Assemblée des communautés européennes";"proposition de loi";"http://www.senat.fr/dossier-legislatif/s78790138.html";"caduc";"";"";"";"";""
1974;484;"30/06/1975";"Jacques HABERT, Louis GROS, Charles de CUTTOLI, Pierre CROZE, Paul D'ORNANO, Edmond SAUVAGEOT";"proposition de loi tendant à modifier les articles 2 et 3 de la loi n° 70-632 du 15 juillet 1970";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl74-484.html";"Première lecture (AN)";"";"";"";"";"Économie et finances, fiscalité, Logement et urbanisme, Société"
1976;148;"02/01/1977";"Léon JOZEAU-MARIGNE";"proposition de loi tendant à modifier ou à abroger certaines dispositions du Code civil relatives aux régimes matrimoniaux en vue d'assurer l'égalité des époux";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl76-148.html";"caduc";"";"";"";"";"Famille, Société"
1976;473;"30/06/1977";"Pierre JOURDAN";"proposition de loi complétant les dispositions transitoires en matière civile de la loi n° 74-631 du 5 juillet 1974 fixant à dix-huit ans l'âge de la majorité";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl76-473.html";"caduc";"";"";"";"";"Société"
1976;489;"17/09/1977";"Marcel LUCOTTE";"proposition de loi sur les interventions des établissements publics régionaux en faveur de l'emploi et du développement économique,";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl76-489.html";"Première lecture (Sénat)";"";"";"";"";"Collectivités territoriales, Économie et finances, fiscalité"
1977;12;"13/10/1977";"Jacques CARAT, Marcel CHAMPEIX, Roland GRIMALDI, Philippe MACHEFER, Robert PONTILLON, Roger QUILLIOT, Franck SÉRUSCLAT";"proposition de loi tendant à réglementer et à taxer l'affichage publicitaire concédé";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-012.html";"caduc";"";"";"";"";"Entreprises"
1977;38;"20/10/1977";"Jean CLUZEL, Yves ESTEVE, Georges REPIQUET, Maurice PREVOTEAU, Jean-Marie RAUSCH, Louis VIRAPOULLE";"proposition de loi tendant à modifier l'article 29 de la loi d'orientation du commerce de l'artisanat (n° 73-1193 du 27 décembre 1973)";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-038.html";"caduc";"";"";"";"";"PME, commerce et artisanat"
1977;39;"25/10/1977";"Charles LEDERMAN, Marcel ROSETTE, Jean OOGHE";"proposition de loi sur les libertés, les fichiers et l'informatique";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-039.html";"caduc";"";"";"";"";"Recherche, sciences et techniques"
1977;43;"27/10/1977";"Pierre MARCILHACY";"proposition de loi tendant à la répression des prises d'otage et de la piraterie aérienne";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-043.html";"caduc";"";"";"";"";"Police et sécurité"
1977;58;"03/11/1977";"Jean SAUVAGE, Geoffroy de MONTALEMBERT, Paul GUILLARD, Paul RIBEYRE, Philippe DE BOURGOING, Octave BAJEUX, Michel D'AILLIERES, Hubert D'ANDIGNE, Charles BOSSON, Jean CAUCHON, Jean CHAMANT, Auguste CHUPIN, André COLIN, Jacques COUDERT, Jacques DESCOURS DESACRES, Lucien GAUTIER, Jean GRAVIER, René JAGER, Léon JOZEAU-MARIGNE, Louis JUNG, Michel LABEGUERIE, Bernard LEMARIÉ, Louis LE MONTAGNER, Georges LOMBARD, Roland du LUART, Louis MARTIN, Michel MIROUDOT, Guy PETIT, Jules ROUJON, Maurice SCHUMANN, Albert SIRGUE, René TINANT, René TRAVERT, Raoul VADEPIED, Michel YVER, Joseph YVON, CHARLES ZWICKERT";"proposition de loi complémentaire à la loi n° 60-791 du 2 août 1960 et relative aux rapports entre l'Etat et l'enseignement agricole privé";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-058.html";"caduc";"";"";"";"";"Agriculture et pêche, Éducation"
1977;59;"03/11/1977";"Fernand LEFORT, Marie-Thérèse GOUTMANN";"proposition de loi tendant à revaloriser les pensions et retaites des anciens combattants et victimes de la guerre";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-059.html";"caduc";"";"";"";"";"Anciens combattants"
1977;61;"03/11/1977";"Pierre TAJAN";"proposition de loi tendant à la réparation des dommages causés par des calamités agricoles à caractère exceptionnel et répétitif";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-061.html";"caduc";"";"";"";"";"Agriculture et pêche"
1977;62;"03/11/1977";"Jean FRANCOU, Francis PALMERO, Michel LABEGUERIE, Jean-Marie BOULOUX, Jean-Pierre BLANC";"proposition de loi tendant à modifier la loi n° 70-632 du 15 juillet 1970 relative à une contribution nationale à l'indemnisation des Français dépossédés de biens , en vue d'une indemnisation complète des rapatriés et spoliés";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-062.html";"caduc";"";"";"";"";"Économie et finances, fiscalité, Société"
1977;65;"08/11/1977";"René BALLAYER, Gustave HEON";"proposition de loi relative aux sessions des conseils généraux";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-065.html";"caduc";"";"";"";"";"Collectivités territoriales"
1977;75;"10/11/1977";"Pierre SCHIELE, Daniel HOEFFEL, Henri GOETSCHY, Louis JUNG, Marcel RUDLOFF, CHARLES ZWICKERT";"proposition de loi relative aux régimes locaux de retraite du personnel communal d'Alsace et de Lorraine";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-075.html";"caduc";"";"";"";"";"Questions sociales et santé"
1977;86;"16/11/1977";"Charles de CUTTOLI, Pierre CROZE, Jacques HABERT, Paul D'ORNANO, Jean-Pierre CANTEGRIT, Frédéric WIRTH";"proposition de loi tendant à compléter l'article 832 du Code civil";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-086.html";"caduc";"";"";"";"";"Pouvoirs publics et Constitution"
