Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
projet de loi de finances pour 2026;projet de loi de finances;14/10/2025;http://www.senat.fr/dossier-legislatif/pjlf2026.html;promulgué;partiellement conforme;19/02/2026;19/02/2026;2026-103;Budget, Économie et finances, fiscalité, Pouvoirs publics et Constitution
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et l'Observatoire du réseau d'antennes d'un kilomètre carré (SKAO) relatif à l'adhésion de la France à l'Observatoire;projet de loi;31/10/2024;http://www.senat.fr/dossier-legislatif/pjl24-104.html;promulgué;;;29/01/2026;2026-34;Affaires étrangères et coopération, Société
projet de loi autorisant l'approbation de l'accord sous forme d'échange de notes verbales entre le Gouvernement de la République française et le Gouvernement de la République de Moldavie relatif à l'échange de permis de conduire;projet de loi;19/06/2025;http://www.senat.fr/dossier-legislatif/pjl24-764.html;promulgué;;;28/01/2026;2026-28;Affaires étrangères et coopération, Traités et conventions
proposition de loi organique tendant à modifier le II de l'article 43 de la loi organique n° 2004-192 du 27 février 2004 portant statut d'autonomie de la Polynésie française;proposition de loi organique;20/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-223.html;promulgué;conforme;30/12/2025;07/01/2026;2026-6;Outre-mer, Pouvoirs publics et Constitution
projet de loi de financement de la sécurité sociale pour 2026;projet de loi de financement de la sécurité sociale;14/10/2025;http://www.senat.fr/dossier-legislatif/plfss2026.html;promulgué;partiellement conforme;30/12/2025;30/12/2025;2025-1403;Budget, Questions sociales et santé, Sécurité sociale
proposition de loi visant à reconnaître le préjudice subi par les personnes condamnées sur le fondement de la législation pénalisant l'avortement, et par toutes les femmes, avant la loi n° 75-17 du 17 janvier 1975 relative à l'interruption volontaire de la grossesse;proposition de loi;15/01/2025;http://www.senat.fr/dossier-legislatif/ppl24-244.html;promulgué;;;29/12/2025;2025-1374;Famille, Justice, Société
projet de loi autorisant l'approbation de l'accord entre la République française et la République de Chypre sur la coopération lors des opérations d'évacuation à partir de la région du Moyen-Orient dans le cadre d'une situation de crise;projet de loi;13/02/2025;http://www.senat.fr/dossier-legislatif/pjl24-345.html;promulgué;;;26/12/2025;2025-1317;Affaires étrangères et coopération, Défense
projet de loi spéciale prévue par l'article 45 de la loi organique n° 2001-692 du 1er août 2001 relative aux lois de finances;projet de loi;22/12/2025;http://www.senat.fr/dossier-legislatif/pjl25-248.html;promulgué;;;26/12/2025;2025-1316;Budget, Économie et finances, fiscalité, Pouvoirs publics et Constitution
proposition de loi portant création d'un statut de l'élu local;proposition de loi;18/01/2024;http://www.senat.fr/dossier-legislatif/ppl23-263.html;promulgué;;;22/12/2025;2025-1249;Collectivités territoriales, Société
proposition de loi relative à la protection sociale complémentaire des agents publics territoriaux;proposition de loi;03/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-300.html;promulgué;;;22/12/2025;2025-1251;Collectivités territoriales, Fonction publique, Questions sociales et santé, Société
proposition de loi élargissant la possibilité pour les collectivités territoriales et leurs groupements d'avoir recours au modèle de la société portuaire pour l'exploitation de leurs ports;proposition de loi;10/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-319.html;promulgué;;;22/12/2025;2025-1250;Agriculture et pêche, Collectivités territoriales
projet de loi autorisant la ratification de plusieurs conventions-cadres relatives aux bureaux à contrôles nationaux juxtaposés, aux contrôles en cours de route et aux gares communes ou d'échange;projet de loi;22/01/2025;http://www.senat.fr/dossier-legislatif/pjl24-853.html;promulgué;;;16/12/2025;2025-1225;Affaires étrangères et coopération, Police et sécurité, Traités et conventions
projet de loi de finances de fin de gestion pour 2025;projet de loi;10/11/2025;http://www.senat.fr/dossier-legislatif/pjl25-132.html;promulgué;;;08/12/2025;2025-1173;Budget, Économie et finances, fiscalité
proposition de loi de simplification du droit de l'urbanisme et du logement;proposition de loi;01/04/2025;http://www.senat.fr/dossier-legislatif/ppl24-632.html;promulgué;partiellement conforme;20/11/2025;26/11/2025;2025-1129;Logement et urbanisme, Société
proposition de loi élevant Alfred Dreyfus au grade de général de brigade;proposition de loi;07/05/2025;http://www.senat.fr/dossier-legislatif/ppl24-675.html;promulgué;;;17/11/2025;2025-1079;Défense, Société
projet de loi autorisant l'approbation de l'accord de coopération dans le domaine de la défense entre le Gouvernement de la République française et le Gouvernement de la République de Macédoine du Nord;projet de loi;04/06/2025;http://www.senat.fr/dossier-legislatif/pjl24-788.html;promulgué;;;06/11/2025;2025-1056;Affaires étrangères et coopération, Défense
proposition de loi contre les fraudes aux moyens de paiement scripturaux;proposition de loi;04/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-496.html;promulgué;;;06/11/2025;2025-1058;Économie et finances, fiscalité, Justice, Société
proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles;proposition de loi;21/01/2025;http://www.senat.fr/dossier-legislatif/ppl24-504.html;promulgué;;;06/11/2025;2025-1057;Justice, Questions sociales et santé, Société
proposition de loi organique visant à reporter le renouvellement général des membres du congrès et des assemblées de province de la Nouvelle-Calédonie pour permettre la mise en oeuvre de l'accord du 12 juillet 2025;proposition de loi organique;13/08/2025;http://www.senat.fr/dossier-legislatif/ppl24-876.html;promulgué;conforme;06/11/2025;06/11/2025;2025-1055;Outre-mer, Pouvoirs publics et Constitution
proposition de loi visant à garantir un cadre fiscal stable, juste et lisible pour nos micro-entrepreneurs et nos petites entreprises;proposition de loi;17/04/2025;http://www.senat.fr/dossier-legislatif/ppl24-677.html;promulgué;;;03/11/2025;2025-1044;Économie et finances, fiscalité, Entreprises
projet de loi portant transposition des accords nationaux interprofessionnels en faveur de l'emploi des salariés expérimentés et relatif à l'évolution du dialogue social;projet de loi;07/05/2025;http://www.senat.fr/dossier-legislatif/pjl24-600.html;promulgué;;;24/10/2025;2025-989;Société, Travail
projet de loi autorisant la ratification de la convention n°155  sur la sécurité et la santé des travailleurs, 1981;projet de loi;12/06/2024;http://www.senat.fr/dossier-legislatif/pjl23-688.html;promulgué;;;22/10/2025;2025-983;Affaires étrangères et coopération, Questions sociales et santé, Société, Travail
projet de loi de programmation pour la refondation de Mayotte;projet de loi de programmation;22/04/2025;http://www.senat.fr/dossier-legislatif/pjl24-544.html;promulgué;conforme;07/08/2025;11/08/2025;2025-797;Outre-mer
projet de loi organique relatif au Département-Région de Mayotte;projet de loi organique;22/04/2025;http://www.senat.fr/dossier-legislatif/pjl24-545.html;promulgué;conforme;07/08/2025;11/08/2025;2025-793;Outre-mer
proposition de loi visant à lever les contraintes à l'exercice du métier d'agriculteur;proposition de loi;01/11/2024;http://www.senat.fr/dossier-legislatif/ppl24-108.html;promulgué;partiellement conforme;07/08/2025;11/08/2025;2025-794;Agriculture et pêche, Société
proposition de loi visant à faciliter le maintien en rétention des personnes condamnées pour des faits d'une particulière gravité et présentant de forts risques de récidive;proposition de loi;03/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-298.html;promulgué;partiellement conforme;07/08/2025;11/08/2025;2025-796;Justice, Police et sécurité, Société
proposition de loi visant à réformer le mode d'élection des membres du conseil de Paris et des conseils municipaux de Lyon et Marseille;proposition de loi;15/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-532.html;promulgué;conforme;07/08/2025;11/08/2025;2025-795;Collectivités territoriales, Pouvoirs publics et Constitution, Société
proposition de loi relative à la lutte contre l'antisémitisme dans l'enseignement supérieur;proposition de loi;10/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-026.html;promulgué;conforme;29/07/2025;31/07/2025;2025-732;Éducation, Justice, Société
projet de loi autorisant l'approbation de la convention d'entraide judiciaire en matière pénale entre le Gouvernement de la République française et le Gouvernement de la République du Panama et de la convention d'extradition;projet de loi;05/03/2025;http://www.senat.fr/dossier-legislatif/pjl24-651.html;promulgué;;;21/07/2025;2025-677;Affaires étrangères et coopération, Traités et conventions
proposition de loi relative au droit de vote par correspondance des personnes détenues;proposition de loi;05/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-192.html;promulgué;conforme;17/07/2025;18/07/2025;2025-658;Justice, Police et sécurité, Pouvoirs publics et Constitution, Société
proposition de loi relative à la restitution d'un bien culturel à la République de Côte d'Ivoire;proposition de loi;14/11/2024;http://www.senat.fr/dossier-legislatif/ppl24-140.html;promulgué;;;16/07/2025;2025-644;Affaires étrangères et coopération, Culture, Société
projet de loi portant création de l'établissement public du commerce et de l'industrie de la collectivité de Corse;projet de loi;28/04/2025;http://www.senat.fr/dossier-legislatif/pjl24-552.html;promulgué;;;15/07/2025;2025-640;Collectivités territoriales, Entreprises, PME, commerce et artisanat
proposition de loi créant l'homicide routier et visant à lutter contre la violence routière;proposition de loi;17/10/2023;http://www.senat.fr/dossier-legislatif/ppl23-308.html;promulgué;;;09/07/2025;2025-622;Justice, Société, Transports
proposition de loi visant à renforcer la sécurité des professionnels de santé;proposition de loi;23/01/2024;http://www.senat.fr/dossier-legislatif/ppl23-430.html;promulgué;;;09/07/2025;2025-623;Police et sécurité, Questions sociales et santé, Société, Travail
proposition de loi visant à mettre en place un registre national des cancers;proposition de loi;21/04/2023;http://www.senat.fr/dossier-legislatif/ppl22-546.html;promulgué;;;30/06/2025;2025-596;Questions sociales et santé, Société
proposition de loi contre toutes les fraudes aux aides publiques;proposition de loi;15/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-274.html;promulgué;partiellement conforme;26/06/2025;30/06/2025;2025-594;Économie et finances, fiscalité, Fonction publique, Police et sécurité, Société
proposition de loi visant à protéger les personnes engagées dans un projet parental des discriminations au travail;proposition de loi;15/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-568.html;promulgué;;;30/06/2025;2025-595;Famille, Société, Travail
projet de loi autorisant la ratification du Traité de coopération en matière de défense entre la République française et la République de Djibouti;projet de loi;26/03/2025;http://www.senat.fr/dossier-legislatif/pjl24-491.html;promulgué;;;27/06/2025;2025-579;Affaires étrangères et coopération, Traités et conventions
proposition de loi visant à améliorer l'accès aux soins par la territorialisation et la formation;proposition de loi;17/10/2023;http://www.senat.fr/dossier-legislatif/ppl23-189.html;promulgué;;;27/06/2025;2025-580;Questions sociales et santé, Société
proposition de loi sur la profession d'infirmier;proposition de loi;03/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-420.html;promulgué;;;27/06/2025;2025-581;Questions sociales et santé, Société, Travail
projet de loi autorisant l'approbation de l'avenant à la convention entre la France et la Suisse du 9 septembre 1966 modifiée, en vue d'éliminer les doubles impositions en matière d'impôts sur le revenu et sur la fortune et de prévenir la fraude et l'évasion fiscales;projet de loi;26/06/2024;http://www.senat.fr/dossier-legislatif/pjl23-706.html;promulgué;;;23/06/2025;2025-567;Affaires étrangères et coopération, Économie et finances, fiscalité, Société, Traités et conventions
projet de loi autorisant la ratification de la résolution LP.3(4) portant amendement de l'article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l'immersion de déchets et autres matières;projet de loi;03/07/2024;http://www.senat.fr/dossier-legislatif/pjl23-715.html;promulgué;;;23/06/2025;2025-566;Affaires étrangères et coopération, Environnement, Société
proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents;proposition de loi;15/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-343.html;promulgué;partiellement conforme;19/06/2025;23/06/2025;2025-568;Famille, Justice, Société
proposition de loi visant à faciliter la transformation des bureaux en logements;proposition de loi;15/12/2023;http://www.senat.fr/dossier-legislatif/ppl23-406.html;promulgué;;;16/06/2025;2025-541;Logement et urbanisme, Société
proposition de loi visant à sortir la France du piège du narcotrafic;proposition de loi;12/07/2024;http://www.senat.fr/dossier-legislatif/ppl23-735.html;promulgué;partiellement conforme;12/06/2025;13/06/2025;2025-532;Police et sécurité, Société
proposition de loi organique fixant le statut du procureur national anti-stupéfiants;proposition de loi organique;10/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-197.html;promulgué;conforme;05/06/2025;13/06/2025;2025-531;Police et sécurité, Société
proposition de loi expérimentant l'encadrement des loyers et améliorant l'habitat dans les outre-mer;proposition de loi;10/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-198.html;promulgué;;;13/06/2025;2025-534;Logement et urbanisme, Outre-mer, Société
proposition de loi visant à instaurer un dispositif de sanction contraventionnelle pour prévenir le développement des vignes non cultivées qui représentent une menace sanitaire pour l'ensemble du vignoble français;proposition de loi;21/01/2025;http://www.senat.fr/dossier-legislatif/ppl24-414.html;promulgué;;;13/06/2025;2025-533;Agriculture et pêche, Questions sociales et santé, Société
projet de loi relatif au transfert à l'État des personnels enseignants de l'enseignement du premier degré dans les îles Wallis et Futuna;projet de loi;22/04/2025;http://www.senat.fr/dossier-legislatif/pjl24-546.html;promulgué;;;02/06/2025;2025-486;Éducation, Outre-mer
projet de loi autorisant l'approbation de l'accord portant création du Centre de développement des capacités cyber dans les Balkans occidentaux (C3BO);projet de loi;27/11/2024;http://www.senat.fr/dossier-legislatif/pjl24-166.html;promulgué;;;30/05/2025;2025-474;Affaires étrangères et coopération, Recherche, sciences et techniques, Société
projet de loi autorisant l'approbation de l'accord-cadre entre le Gouvernement de la République française et les Nations unies;projet de loi;19/03/2025;http://www.senat.fr/dossier-legislatif/pjl24-533.html;promulgué;;;23/05/2025;2025-449;Affaires étrangères et coopération, Société
proposition de loi visant à renforcer la parité dans les fonctions électives et exécutives du bloc communal;proposition de loi;19/10/2021;http://www.senat.fr/dossier-legislatif/ppl21-451.html;promulgué;conforme;15/05/2025;21/05/2025;2025-444;Collectivités territoriales, Société
proposition de loi organique visant à harmoniser le mode de scrutin aux élections municipales afin de garantir la vitalité démocratique, la cohésion municipale et la parité;proposition de loi organique;07/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-011.html;promulgué;conforme;15/05/2025;21/05/2025;2025-443;Collectivités territoriales, Pouvoirs publics et Constitution
proposition de loi visant à réduire et à encadrer les frais bancaires sur succession;proposition de loi;16/01/2024;http://www.senat.fr/dossier-legislatif/ppl23-374.html;promulgué;;;13/05/2025;2025-415;Économie et finances, fiscalité, Famille, Société
proposition de loi visant à renforcer les conditions d'accès à la nationalité française à Mayotte;proposition de loi;03/12/2024;http://www.senat.fr/dossier-legislatif/ppl24-315.html;promulgué;conforme;07/05/2025;12/05/2025;2025-412;Famille, Outre-mer
projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes;projet de loi;31/10/2024;http://www.senat.fr/dossier-legislatif/pjl24-352.html;promulgué;conforme;29/04/2025;30/04/2025;2025-391;Économie et finances, fiscalité, Environnement, Questions sociales et santé, Transports
proposition de loi relative au renforcement de la sûreté dans les transports;proposition de loi;28/12/2023;http://www.senat.fr/dossier-legislatif/ppl23-235.html;promulgué;partiellement conforme;24/04/2025;28/04/2025;2025-379;Police et sécurité, Société, Transports
proposition de loi visant à améliorer le traitement des maladies affectant les cultures végétales à l'aide d'aéronefs télépilotés;proposition de loi;15/10/2024;http://www.senat.fr/dossier-legislatif/ppl24-273.html;promulgué;;;23/04/2025;2025-365;Agriculture et pêche, Environnement
projet de loi autorisant l'approbation de la Résolution n° 259 portant modification de l'article 1er de l'Accord portant création de la BERD;projet de loi;08/01/2025;http://www.senat.fr/dossier-legislatif/pjl24-232.html;promulgué;;;15/04/2025;2025-339;Affaires étrangères et coopération, Traités et conventions, Union européenne
proposition de loi visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement;proposition de loi;11/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-324.html;promulgué;;;14/04/2025;2025-336;Énergie, Environnement, Société
proposition de loi visant à renforcer la stabilité économique et la compétitivité du secteur agroalimentaire;proposition de loi;13/02/2025;http://www.senat.fr/dossier-legislatif/ppl24-451.html;promulgué;;;14/04/2025;2025-337;Économie et finances, fiscalité
proposition de loi visant à assouplir la gestion des compétences « eau » et « assainissement »;proposition de loi;29/04/2024;http://www.senat.fr/dossier-legislatif/ppl23-556.html;promulgué;;;11/04/2025;2025-327;Aménagement du territoire, Collectivités territoriales, Économie et finances, fiscalité, Logement et urbanisme
projet de loi autorisant l'approbation de la convention d'extradition entre le Gouvernement de la République française et le Gouvernement du Royaume du Cambodge;projet de loi;28/09/2016;http://www.senat.fr/dossier-legislatif/pjl16-523.html;promulgué;;;25/03/2025;2025-273;Affaires étrangères et coopération, Justice
projet de loi autorisant l'approbation de l'accord sur la création d'un espace aérien commun entre l'Union européenne et ses États membres et la République d'Arménie et l'Ukraine;projet de loi;17/04/2024;http://www.senat.fr/dossier-legislatif/pjl23-544.html;promulgué;;;25/03/2025;2025-272;Société, Traités et conventions, Transports, Union européenne
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République d'Indonésie relatif à la coopération dans le domaine de la défense;projet de loi;17/04/2024;http://www.senat.fr/dossier-legislatif/pjl23-545.html;promulgué;;;25/03/2025;2025-274;Affaires étrangères et coopération, Défense, Société, Traités et conventions
projet de loi d'orientation pour la souveraineté alimentaire et agricole et le renouvellement des générations en agriculture;projet de loi;03/04/2024;http://www.senat.fr/dossier-legislatif/pjl23-639.html;promulgué;partiellement conforme;20/03/2025;24/03/2025;2025-268;Agriculture et pêche, Questions sociales et santé, Société
