id;selected;objet_activite;denomination;date_publication_activite;budget_total;nb_activites_total;budget_moyen_activite;domaines;nombre_salaries;bm25_score;vec_score;hybrid_score
58426;true;Obtenir une révision du fond réparation ameublement;FEDER FRANCA NEGOCE AMEUBLE EQUIP MAISON;2023-03-10T00:00:00.000;1005000;27;37222;Déchets;2;12.207102063339894;1.0036494731903076;0.012446743761412051
48898;true;fête de l'Agriculture 2023 à dommartin le saint pere le dimanche 28/08/23;CTRE DEPARTEMENTAL JEUNES AGRICULTEURS;2024-04-02T00:00:00.000;675000;49;13776;Agriculture;3;0;0.8111039996147156;0.009016393442622951
43059;true;CRÉER UNE LIGNE D’APPEL POUR LES URGENCES PALLIATIVES;SOC FRAN ACCOMPAG & SOIN PALLIATIF;2024-03-31T00:00:00.000;87500;29;3017;Santé;0.3;0;0.8267431259155273;0.008870967741935484
14079;true;Permettre la reconnaissance de l’endométriose comme ALD;FEDERATION NATIONALE DES CENTRES D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES;2025-04-29T00:00:00.000;150000;16;9375;Santé;1.5;0;0.8330943584442139;0.00873015873015873
2536;true;Demander une clarification de la définition des matelas reconditionnés ;ECOLOGIC COMING OUT;2024-02-05T00:00:00.000;122500;71;1725;Environnement;1;0;0.8722220659255981;0.00859375
2537;true;Demander une clarification de la définition des matelas reconditionnés ;ECOLOGIC COMING OUT;2024-02-05T00:00:00.000;122500;71;1725;Environnement;1;0;0.8722220659255981;0.008461538461538463
86177;true;Discuter sur le retour du repos quotidien d'une durée minimale - Art. 1-III de la loi n° 2022-1089;UNION DES INDUSTRIES ET DES METIERS DE LA METALLURGIE;2023-03-31T00:00:00.000;7225000;385;18766;Droit du travail;4;0;0.890652596950531;0.008333333333333333
65931;true;REPRESENTATION DES BAILLEURS SOCIAUX D'AQUITAINE ET NOUVELLE-AQUITAINE;ASS REG DES ORGANISMES HLM AQUITAINE;2020-08-18T00:00:00.000;17500;1;17500;Logement;2;0;0.8976924419403076;0.008208955223880599
32216;true;PJL SREN : VALORISER LES BONNES PRATIQUES DE YOUTUBE EN MATIERE DE MODERATION DE CONTENUS;PUBLICIS CONSULTANTS FRANCE;2024-03-29T00:00:00.000;1210000;163;7423;Numérique;1;0;0.9034034013748169;0.008088235294117648
91595;true;"Demande de retrait du classement en ""nuisible"" du renard";PROTECT ANIMAUX SAUVAGES PATRIM NATUREL;2020-10-28T00:00:00.000;30000;24;1250;Bien-être animal Chasse;1;0;0.9146087765693665;0.007971014492753625
80140;true;Manifestation devant la Préfecture de Moulins le 8 / 10 avec rencontre de Mme la Préfète;FNSEA 03;2021-10-01T00:00:00.000;30000;83;361;Agriculture;;0;0.9283910989761353;0.007857142857142858
46589;true;Abroger l'ancien alinéa 7 de l'article 521-1 du code pénal (Corrida et combats de coqs);FONDATION BRIGITTE BARDOT;2022-03-16T00:00:00.000;80000;32;2500;Bien-être animal;2;0;0.9297013878822327;0.007746478873239438
12697;true;PROMOUVOIR LA SOLUTION DU GÉNÉRATEUR D'OXYGÈNE MÉDICAL;NILE;2024-03-29T00:00:00.000;2400000;177;13559;Santé;4;0;0.929787278175354;0.0076388888888888895
91586;true;Demande d’interdiction de la vènerie sous terre du blaireau ;PROTECT ANIMAUX SAUVAGES PATRIM NATUREL;2022-04-14T00:00:00.000;30000;24;1250;Bien-être animal Chasse;1;0;0.9315108060836792;0.007534246575342466
91589;true;Demande d’interdiction de la vènerie sous terre du blaireau;PROTECT ANIMAUX SAUVAGES PATRIM NATUREL;2021-08-13T00:00:00.000;30000;24;1250;Bien-être animal Chasse;1;0;0.9315108060836792;0.007432432432432433
58413;true;Obtenir reconduction visible fee pour écocontributions ameublement;FEDER FRANCA NEGOCE AMEUBLE EQUIP MAISON;2025-01-30T00:00:00.000;1005000;27;37222;Environnement;0.5;12.207102063339894;0;0.007377049180327868
12872;true;SOUTENIR LE DÉPISTAGE UNIVERSEL DE LA DRÉPANOCYTOSE;PFIZER;2024-03-08T00:00:00.000;2500000;57;43860;Santé;2;0;0.9368084669113159;0.007333333333333334
32213;true;PJL SREN : FAIRE VALOIR L'INTRODUCTION D'UNE AMENDE FORFAITAIRE CONCERNANT LE DELIT D'OUTRAGE EN LIGNE;PUBLICIS CONSULTANTS FRANCE;2024-03-28T00:00:00.000;1210000;163;7423;Numérique;1;0;0.9405208826065063;0.007236842105263159
44513;true;Rencontre DRCI CHU Lilles - Présentation des tiers lieux d'expérimentation du CHU - ;ASSOCIATION FRANCE BIOTECH;2024-03-29T00:00:00.000;440000;150;2933;Santé;1.5;0;0.9452269673347473;0.0071428571428571435
58414;true;Obtenir reconduction visible fee pour écocontributions ameublement;FEDER FRANCA NEGOCE AMEUBLE EQUIP MAISON;2025-01-30T00:00:00.000;1005000;27;37222;Environnement;0.5;12.207102063339894;0;0.007142857142857142
